booking_rule_id,booking_type,prior_notice_duration_min,prior_notice_last_day,prior_notice_last_time,message,phone_number
217990000036124141,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast två timmar före avresa.,
217990000036124401,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast två timmar före avresa.,
217990000038615433,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615470,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615508,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615546,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615583,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615617,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615645,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615673,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615707,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615735,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615763,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615809,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615846,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615883,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038615920,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617716,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617733,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617750,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617767,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617798,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617964,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617981,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038617998,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038618015,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000038618032,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000039042319,1,,,,Turen måste förbeställas på tel: 0771-49 79 39 senast 2 tim före avresa.,
217990000040106882,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040106922,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040106962,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040107005,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040107048,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040114521,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040114574,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
217990000040114627,1,,,,Turen måste förbeställas på tel: 0771-497939 senast två timmar före avresa.,
