route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011021001900000,217990000000001393,19,,700,
9011021002000000,217990000000001393,20,,700,
9011021002100000,217990000000001393,21,,700,
9011021002200000,217990000000001393,22,,700,
9011021002500000,217990000000001393,25,,700,
9011021002600000,217990000000001393,26,,700,
9011021002800000,217990000000001393,28,,700,
9011021002900000,217990000000001393,29,,700,
9011021003000000,217990000000001393,30,,700,
9011021003200000,217990000000001393,32,,700,
9011021003300000,217990000000001393,33,,700,
9011021003400000,217990000000001393,34,,700,
9011021003500000,217990000000001393,35,,700,
9011021003700000,217990000000001393,37,,700,
9011021003800000,217990000000001393,38,,700,
9011021003900000,217990000000001393,39,,700,
9011021004100000,217990000000001393,41,,700,
9011021004200000,217990000000001393,42,,700,
9011021004300000,217990000000001393,43,,700,
9011021004400000,217990000000001393,44,,700,
9011021004500000,217990000000001393,45,,700,
9011021004600000,217990000000001393,46,,700,
9011021004700000,217990000000001393,47,,700,
9011021004800000,217990000000001393,48,,700,
9011021004900000,217990000000001393,49,,700,
9011021005100000,217990000000001393,51,,700,
9011021005200000,217990000000001393,52,,700,
9011021005300000,217990000000001393,53,,700,
9011021005400000,217990000000001393,54,,700,
9011021005500000,217990000000001393,55,,700,
9011021005700000,217990000000001393,57,,700,
9011021005800000,217990000000001393,58,,700,
9011021006000000,217990000000001393,60,,700,
9011021006100000,217990000000001393,61,,700,
9011021006200000,217990000000001393,62,,700,
9011021006300000,217990000000001393,63,,700,
9011021006400000,217990000000001393,64,,700,
9011021006500000,217990000000001393,65,,700,
9011021006700000,217990000000001393,67,,700,
9011021006800000,217990000000001393,68,,700,
9011021007000000,217990000000001393,70,,700,
9011021007500000,217990000000001393,75,,700,
9011021007600000,217990000000001393,76,,700,
9011021007700000,217990000000001393,77,,700,
9011021007800000,217990000000001393,78,,700,
9011021008000000,217990000000001393,80,,700,
9011021008200000,217990000000001393,82,,700,
9011021008300000,217990000000001393,83,,700,
9011021009100000,217990000000001393,91,,700,
9011021009500000,217990000000001393,95,,700,
9011021009900000,217990000000001393,99,,700,
9011021010000000,217990000000001393,100,,700,
9011021014100000,217990000000001393,141,,700,
9011021015000000,217990000000001393,150,,700,
9011021015100000,217990000000001393,151,,700,
9011021015200000,217990000000001393,152,,700,
9011021017200000,217990000000001393,172,,700,
9011021017300000,217990000000001393,173,,700,
9011021019500000,217990000000001393,195,,700,
9011021020100000,217990000000001393,1,,700,
9011021020200000,217990000000001393,2,,700,
9011021020300000,217990000000001393,3,,700,
9011021020400000,217990000000001393,4,,700,
9011021021100000,217990000000001393,11,,700,Sandviken
9011021024100000,217990000000001393,241,,700,
9011021030000000,217990000000001393,X-tåg,X-tåg Gävle-Ljusdal,100,
9011021030000000-X-tåg.,217990000000001393,X-tåg.,X-tåg Gävle-Ljusdal,100,
9011021030100000,217990000000001393,X-tåg,X-tåg Gävle-Sundsvall,100,
9011021035300000,217990000000001393,TIB,353,100,
9011021035400000,217990000000001393,TIB,354,100,
9011021035900000,217990000000001393,359,,700,
9011021040100000,217990000000001393,1,,700,Söderhamn
9011021040200000,217990000000001393,2,,700,Söderhamn
9011021040300000,217990000000001393,3,,700,Söderhamn
9011021050100000,217990000000001393,1,,700,Hudiksvall
9011021050200000,217990000000001393,2,,700,Hudiksvall
9011021050300000,217990000000001393,3,,700,Hudiksvall
9011021050400000,217990000000001393,4,,700,Hudiksvall
9011021060100000,217990000000001393,1,,700,Bollnäs
9011021060200000,217990000000001393,2,,700,Bollnäs
9011021060300000,217990000000001393,3,,700,Bollnäs
9011021060600000,217990000000001393,6,,700,Bollnäs
9011021090100000,217990000000001393,1,901,700,Gävle
9011021090200000,217990000000001393,2,,700,Gävle
9011021090300000,217990000000001393,3,,700,Gävle
9011021090400000,217990000000001393,4,,700,Gävle
9011021091100000,217990000000001393,11,,700,Gävle
9011021091200000,217990000000001393,12,,700,Gävle
9011021091400000,217990000000001393,14,,700,Gävle
9011021091500000,217990000000001393,15,,700,Gävle
9011021300000000,217990000000001393,300,3000,700,
9011021300100000,217990000000001393,301,3001,700,
9011021301100000,217990000000001393,SJ-tåg,3011,100,
9011021301100000-SJ-Tåg,217990000000001393,SJ-Tåg,3011,100,
9011021301500000,217990000000001393,SJ-tåg,3015,100,
9011021301500000-SJ-Tåg,217990000000001393,SJ-Tåg,3015,100,
